run_id,task_id,attempt,provider,requested_model,resolved,score,hermes_completed,grader_completed,artifact_verified,artifact_error,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,total_tokens,api_calls,sandboxed_tool_invocations,wall_seconds,actual_cost_usd,actual_cost_status,provider_reported_estimated_cost_usd,api_equivalent_cost_usd
campaign-20260814-v4__API-01__a1__openai-codex__gpt-5.6-luna,API-01,1,openai-codex,gpt-5.6-luna,False,0.5,True,True,True,,27809,177664,0,6146,2244,211619,16,47,173.7714093090035,,included,,0.01649028
campaign-20260814-v4__API-01__a1__openai-codex__gpt-5.6-sol,API-01,1,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,31765,231424,0,9865,2652,273054,17,58,269.77367179095745,,included,,0.570487
campaign-20260814-v4__API-01__a1__openai-codex__gpt-5.6-terra,API-01,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,36304,183808,0,5895,2022,226007,17,58,171.6803223490715,,included,,0.1801096
campaign-20260814-v4__API-01__a1__openai-codex__gpt-daybreak-blue-latest,API-01,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,17883,135451,0,7625,2788,160959,13,42,173.22875230712816,,included,,0.3858905
campaign-20260814-v4__API-01__a1__opencode-go__deepseek-v4-flash,API-01,1,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,14188,601856,0,27035,14819,643079,24,55,255.0875823921524,,unknown,,0.0112413168
campaign-20260814-v4__API-01__a1__opencode-go__deepseek-v4-pro,API-01,1,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,22671,791680,0,39052,27761,853403,26,111,489.9212964447215,,unknown,,0.046706965
campaign-20260814-v4__API-02__a1__openai-codex__gpt-5.6-luna,API-02,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,26986,157184,0,7352,2953,191522,14,46,184.99442292191088,,included,,0.01736328
campaign-20260814-v4__API-02__a1__openai-codex__gpt-5.6-sol,API-02,1,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,31296,162816,0,9007,3286,203119,14,54,279.0191903482191,,included,,0.508098
campaign-20260814-v4__API-02__a1__openai-codex__gpt-5.6-terra,API-02,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,28825,160256,0,7067,3556,196148,14,49,181.9068914493546,,included,,0.1745052
campaign-20260814-v4__API-02__a1__openai-codex__gpt-daybreak-blue-latest,API-02,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,22138,210113,0,10474,4284,242725,15,59,211.10308043798432,,included,,0.5299665
campaign-20260814-v4__API-02__a1__opencode-go__deepseek-v4-flash,API-02,1,opencode-go,deepseek-v4-flash,False,0.0,True,True,True,,,,,,,,1,0,11.77210176596418,,,,0.0
campaign-20260814-v4__API-02__a1__opencode-go__deepseek-v4-pro,API-02,1,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,26316,1168768,0,40053,28350,1235137,31,64,604.7272301102057,,unknown,,0.050530354
campaign-20260814-v4__API-03__a1__openai-codex__gpt-5.6-luna,API-03,1,openai-codex,gpt-5.6-luna,False,0.5,True,True,True,,28920,242688,0,8687,2767,280295,19,55,221.39315759576857,,included,,0.02106216
campaign-20260814-v4__API-03__a1__openai-codex__gpt-5.6-sol,API-03,1,openai-codex,gpt-5.6-sol,False,0.5,True,True,True,,53772,346624,0,11095,4626,411491,23,73,320.3049401161261,,included,,0.775022
campaign-20260814-v4__API-03__a1__openai-codex__gpt-5.6-terra,API-03,1,openai-codex,gpt-5.6-terra,False,0.5,True,True,True,,36244,360448,0,10599,4607,407291,22,73,268.3026132667437,,included,,0.2717656
campaign-20260814-v4__API-03__a1__openai-codex__gpt-daybreak-blue-latest,API-03,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,26802,374067,0,12656,4007,413525,22,71,289.6927083921619,,included,,0.7007235
campaign-20260814-v4__API-03__a1__opencode-go__deepseek-v4-flash,API-03,1,opencode-go,deepseek-v4-flash,False,0.5,True,True,True,,16088,539520,0,23953,11638,579561,25,59,264.43980421312153,,unknown,,0.010469816
campaign-20260814-v4__API-03__a1__opencode-go__deepseek-v4-pro,API-03,1,opencode-go,deepseek-v4-pro,False,0.5,True,True,True,,34017,1178112,0,25747,15562,1237876,34,81,551.4089058530517,,unknown,,0.041467941
campaign-20260814-v4__API-04__a1__openai-codex__gpt-5.6-luna,API-04,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,36678,365056,0,11269,3665,413003,24,67,297.5020729252137,,included,,0.02815952
campaign-20260814-v4__API-04__a1__openai-codex__gpt-5.6-sol,API-04,1,openai-codex,gpt-5.6-sol,False,0.5,True,True,True,,45171,166400,0,9275,3083,220846,16,61,255.7477953871712,,included,,0.587305
campaign-20260814-v4__API-04__a1__openai-codex__gpt-5.6-terra,API-04,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,36056,126464,0,6009,2827,168529,13,45,167.31471739476547,,included,,0.1695128
